avgtemp_c,avghumidity,uv,visible,ir,soil_moisture,soil_moisture_status,date
48,26,260,0.02,257,2043,wet,14/04/2023
48,26,260,0.02,259,2029,wet,14/04/2023
48,26,261,0.02,257,2017,wet,14/04/2023
48,26,262,0.03,258,2049,wet,14/04/2023
48,26,261,0.02,258,2027,wet,14/04/2023
48,26,260,0.02,258,2045,wet,14/04/2023
48,26,261,0.02,257,2047,wet,14/04/2023
48,26,261,0.02,258,2018,wet,14/04/2023
48,26,263,0.03,259,2027,wet,14/04/2023
48,26,261,0.02,258,2056,wet,14/04/2023
0.0,0.0,0.03,262,259,2047,wet,14/04/2023
0.0,0.0,0.02,261,258,2056,wet,14/04/2023
0.0,0.0,0.02,261,258,2045,wet,14/04/2023
0.0,0.0,0.03,262,258,2065,wet,14/04/2023
0.0,0.0,0.02,260,258,2045,wet,14/04/2023
0.0,0.0,0.02,261,258,2019,wet,14/04/2023
0.0,0.0,0.03,263,258,2006,wet,14/04/2023
27,45,0.03,263,257,2024,wet,14/04/2023
27,44,0.02,261,258,2035,wet,14/04/2023
27,44,0.03,262,258,2054,wet,14/04/2023
27,44,0.03,263,257,2018,wet,14/04/2023
27,44,0.03,262,259,2062,wet,14/04/2023
27,44,0.03,262,258,2024,wet,14/04/2023
27,44,0.03,262,258,2039,wet,14/04/2023
27,44,0.02,261,257,2036,wet,14/04/2023
27,44,0.03,262,257,2021,wet,14/04/2023
27,44,0.02,261,258,2035,wet,14/04/2023
27,44,0.03,262,258,2068,wet,14/04/2023
27,43,0.02,261,257,2030,wet,14/04/2023
27,43,0.02,262,257,2042,wet,14/04/2023
27,43,0.03,262,257,2029,wet,14/04/2023
27,43,0.03,262,258,2022,wet,14/04/2023
27,43,0.03,262,257,2051,wet,14/04/2023
27,43,0.02,260,258,2047,wet,14/04/2023
27,43,0.03,262,257,2001,wet,14/04/2023
27,44,0.03,262,258,2010,wet,14/04/2023
27,44,0.02,260,256,2043,wet,14/04/2023
27,44,0.02,261,257,2011,wet,14/04/2023
27,44,0.03,263,257,2024,wet,14/04/2023
27,43,0.02,261,257,2045,wet,14/04/2023
27,43,0.02,261,259,1997,wet,14/04/2023
27,43,0.03,260,258,2030,wet,14/04/2023
27,43,0.02,261,257,2035,wet,14/04/2023
27,43,0.02,261,258,2037,wet,14/04/2023
27,43,0.02,261,257,2015,wet,14/04/2023
27,43,0.03,262,258,2015,wet,14/04/2023
27,43,0.03,262,258,2019,wet,14/04/2023
27,43,0.03,262,257,2029,wet,14/04/2023
27,43,0.03,262,259,2062,wet,14/04/2023
27,44,0.03,262,258,2029,wet,14/04/2023
27,44,0.03,262,258,2032,wet,14/04/2023
27,44,0.02,260,257,2008,wet,14/04/2023
27,43,0.02,261,257,2028,wet,14/04/2023
27,43,0.03,262,257,2029,wet,14/04/2023
27,43,0.02,261,258,1992,wet,14/04/2023
27,43,0.03,262,259,1983,wet,14/04/2023
27,43,0.02,262,257,2052,wet,14/04/2023
27,43,0.03,262,258,2055,wet,14/04/2023
27,43,0.03,262,257,2017,wet,14/04/2023
27,43,0.02,261,258,2025,wet,14/04/2023
27,43,0.03,262,256,2031,wet,14/04/2023
27,43,0.02,260,258,1991,wet,14/04/2023
27,43,0.02,261,258,2032,wet,14/04/2023
27,43,0.03,262,258,2047,wet,14/04/2023
27,43,0.03,262,258,2068,wet,14/04/2023
27,43,0.02,261,258,2052,wet,14/04/2023
27,43,0.02,261,258,2052,wet,14/04/2023
